Time_sec,Peak_Freq_Hz,Peak_Magnitude
0,148,0.0176482582963422
1,148,0.0819242598182585
2,165,0.13452075649907
3,165,0.126134411454414
4,370,0.179142048639499
5,139,0.164360981086842
6,139,0.121339134361334
7,139,0.0100955764031115
